Master.Protein.Accessions	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
O75525	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8e+07	3.2e+07	0	0	0	0	0
O75533	0	0	0	0	0	0	0	0	35900000	2800000	0	9700000	183100000	507100000	457400000	391300000	160500000	167300000	58600000	172400000
O75534	0	0	5500000	3400000	2500000	9e+06	0	35900000	112800000	59800000	38300000	13900000	0	2.6e+07	2.33e+08	481500000	255800000	124100000	4.6e+07	159900000
O75569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5200000	30600000	23600000	13600000	2400000	2600000
O75592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43800000	0	7300000	0	0	0
O75616	0	0	0	0	0	0	0	0	1.7e+07	1.2e+07	0	4700000	0	0	0	0	0	0	0	0
O75643	0	0	0	0	0	0	0	2100000	21700000	24600000	11370000	14100000	207100000	4.57e+08	473900000	253100000	276700000	128800000	75900000	226200000
O75663	0	0	0	0	0	0	0	0	0	1.4e+07	0	0	0	1.2e+07	1.1e+07	5400000	9400000	0	4e+06	0
O75683	0	0	0	0	0	0	0	0	0	0	0	0	1.8e+07	55900000	0	0	1.9e+07	0	0	0
O75691	0	0	0	0	0	0	0	0	0	0	0	0	18200000	52300000	0	0	0	0	0	0
O75694	0	0	0	0	0	0	0	3100000	0	4900000	5500000	7e+06	82400000	1.43e+08	9900000	0	0	0	0	4200000
O75821	0	0	0	0	0	0	0	0	0	14500000	3800000	0	0	21300000	22100000	58200000	38300000	1.1e+07	8400000	18800000
O75822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7e+07	0	8e+07	4.6e+07	19800000	7400000
O75874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6500000	0	0
O75882	0	0	0	0	0	0	0	0	0	3300000	0	0	0	0	0	0	0	0	0	0
O75886	0	0	0	0	0	1900000	0	1200000	0	0	0	0	0	0	0	0	0	0	0	0
O75923	0	0	790000	3200000	0	0	0	2900000	4e+06	0	0	0	0	0	0	0	0	0	0	0
O75940	0	0	0	0	0	0	0	0	0	0	0	0	4900000	10100000	7100000	0	0	0	0	0
O75947	0	0	0	0	0	0	0	0	2900000	0	0	0	0	0	0	0	0	0	0	0
O75962	0	0	4700000	0	0	0	1800000	0	1.3e+07	0	0	0	0	0	0	0	0	0	8600000	4800000
O75976	0	0	429800000	356600000	192800000	576850000	355900000	431700000	9900000	2.9e+07	9700000	5700000	0	0	0	0	0	0	0	0
O76021	0	0	0	0	0	0	0	0	31640000	10700000	0	29300000	5.94e+08	1122100000	428900000	110700000	39200000	2900000	0	10600000
O76024	0	0	4.3e+07	1.4e+07	7600000	34200000	26500000	7.4e+07	1.32e+08	1.04e+08	7.6e+07	7.5e+07	5e+06	0	0	0	1200000	0	0	0
O76094	0	0	0	0	0	0	0	0	10100000	9e+06	0	0	0	3700000	1.2e+07	1.6e+07	0	1.1e+07	0	0
O94761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14500000	1.1e+07	0	1e+07	0	5e+06
O94776	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4e+07	1.2e+07	0	0	0	0	0
O94822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5100000	0	3300000	0	0	0
O94826	0	0	0	0	0	0	0	0	1.7e+07	2.4e+07	0	0	0	0	0	0	0	0	0	0
O94832	0	0	0	0	0	0	0	0	9700000	0	0	0	0	0	0	0	0	0	0	0
O94851	0	0	590000	0	0	0	0	33700000	5e+06	10300000	0	0	0	0	0	0	0	0	0	0
O94855	0	0	0	0	850000	2700000	0	0	0	0	0	0	0	0	0	0	0	0	3800000	0
O94880	0	0	0	0	0	0	0	0	0	0	0	0	1.9e+07	18400000	0	0	0	0	0	0
O94886	0	0	41600000	27400000	5500000	1.5e+07	5100000	0	0	0	0	0	0	0	0	0	0	0	0	0
O94887	0	0	0	0	0	0	0	0	4500000	0	0	0	0	0	0	0	0	0	0	0
O94901	0	0	0	0	0	0	0	0	27600000	55700000	40900000	95800000	5.73e+08	8.61e+08	80600000	0	0	0	0	0
O94903	0	0	0	0	0	0	0	0	0	0	0	1.9e+07	0	7.7e+07	7.2e+07	56190000	72100000	7200000	9600000	5.3e+07
O94906	0	0	0	0	0	0	0	0	0	0	0	0	7900000	0	16900000	3.7e+07	15300000	0	0	1e+07
O94915	0	0	0	0	0	0	0	0	0	0	0	0	0	35100000	0	0	0	0	0	0
O94925	0	0	0	0	0	0	0	0	330800000	210100000	55700000	2.2e+07	1.3e+07	0	0	0	0	0	0	0
O94966	0	0	0	0	0	0	0	0	0	6800000	0	0	0	0	0	0	0	0	0	0
O94979	0	0	19300000	7300000	5700000	2.4e+07	37400000	111600000	1.05e+08	64500000	54300000	60200000	5900000	1.8e+07	62900000	89800000	151800000	192800000	102300000	1.85e+08
O94992	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7e+07	2.1e+07	1.6e+07	1.4e+07	25300000	0	0
O95071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	0	6100000	2900000	0	0
