Master.Protein.Accessions	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
Q92734	0	0	9300000	0	0	0	0	0	9800000	0	0	0	0	0	0	20200000	3800000	16100000	0	6300000
Q92783	0	0	0	8100000	0	0	1.2e+07	2.1e+07	2e+07	0	0	0	0	0	0	0	0	0	0	0
Q92793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22900000	0	8900000	17700000
Q92797	0	0	470000	0	0	0	0	0	7700000	7200000	4500000	0	3400000	2.4e+07	0	2.5e+07	55200000	0	18800000	35400000
Q92804	0	0	0	0	0	0	0	0	0	0	0	3100000	33600000	9.4e+07	19700000	27740000	31200000	4700000	7300000	7900000
Q92841	0	0	0	0	0	0	0	13300000	127800000	53900000	15900000	1.33e+08	706200000	1.322e+09	1253400000	808900000	427800000	355600000	162100000	310600000
Q92870	0	0	15620000	13800000	5800000	12100000	6900000	1.2e+07	0	0	0	0	0	0	0	0	0	0	0	0
Q92878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15400000	0	0	0	0
Q92879	0	0	0	0	0	0	0	0	0	0	0	6700000	0	0	0	0	0	0	0	0
Q92888	0	0	7300000	0	0	0	0	6400000	15400000	0	0	0	0	0	0	0	5500000	0	0	0
Q92896	0	14300000	756800000	544300000	301600000	499600000	312800000	378500000	1.52e+08	58100000	2800000	2100000	0	0	0	0	0	0	0	5500000
Q92900	0	0	0	0	0	0	0	4800000	4.9e+07	1.7e+07	5100000	0	0	0	84300000	146600000	111900000	76800000	21200000	37800000
Q92945	0	0	0	0	0	0	0	9300000	192300000	7.7e+07	143200000	246300000	2003430000	3378400000	3552500000	1.843e+09	934800000	700100000	341200000	446900000
Q92973	0	0	28400000	14800000	2900000	9200000	0	19200000	138900000	7.5e+07	4.1e+07	0	0	89500000	50800000	29200000	109900000	89100000	43600000	103700000
Q92974	0	0	13700000	7200000	0	0	0	30100000	166900000	21600000	29300000	19700000	1.2e+07	0	7.2e+07	48700000	94500000	9500000	4700000	7900000
Q93008	0	0	10300000	3500000	0	1500000	0	16400000	2.2e+07	3200000	0	6400000	0	2.3e+07	60800000	4.2e+07	104600000	61600000	33700000	66200000
Q93009	0	0	0	1900000	0	0	0	0	0	0	0	0	19200000	38900000	2300000	5.3e+07	12600000	29400000	0	50400000
Q93052	0	0	0	3300000	1600000	2400000	2900000	0	0	2.5e+07	0	5700000	0	0	4700000	9100000	1.2e+07	1.5e+07	7100000	1.4e+07
Q93074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3800000	0	0	5800000	0	0
Q969S3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4500000	1.5e+07	0	0	0	0
Q969W9	0	0	1.4e+07	1e+07	4200000	0	0	2700000	0	0	0	0	0	0	0	0	0	0	0	0
Q969Z0	0	0	0	0	0	0	0	0	20300000	3900000	0	0	0	0	0	0	0	0	0	0
Q96A19	0	0	0	0	0	0	0	0	1.3e+07	8100000	0	0	0	0	0	0	0	0	0	0
Q96A65	0	0	0	0	0	0	0	0	0	11900000	0	0	0	0	0	0	0	0	0	0
Q96AC1	0	0	0	0	0	0	0	7300000	1.3e+07	0	0	0	0	0	0	0	0	0	1200000	0
Q96AE4	0	0	0	0	0	0	0	0	6.2e+07	2.7e+07	39600000	2.9e+07	464500000	6.13e+08	637100000	583500000	333200000	284100000	2.33e+08	286100000
Q96AG4	0	0	1600000	0	0	0	0	9900000	36800000	33800000	1.7e+07	1800000	8650000	1.1e+07	0	0	0	0	0	0
Q96AQ6	0	0	0	0	0	0	2600000	8200000	0	0	0	4800000	0	0	0	0	0	0	0	0
Q96AY3	0	0	68600000	40300000	0	26700000	53900000	358300000	944900000	1143700000	7.3e+07	66800000	1.1e+08	24900000	0	220200000	120100000	61600000	39500000	106800000
Q96C36	0	0	0	0	0	0	0	0	0	31600000	0	0	0	0	0	0	0	0	0	0
Q96CC6	0	0	0	2900000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96CS3	0	0	0	0	0	0	0	11500000	55700000	1.4e+07	0	9400000	0	2.6e+08	0	0	0	0	0	0
Q96CT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77700000	0	32100000	3700000	0
Q96CW5	0	0	0	0	0	0	0	0	2800000	0	0	0	0	0	0	1e+07	27500000	19890000	0	0
Q96D15	0	0	0	0	0	0	0	4500000	0	0	2100000	0	0	0	0	0	0	0	0	0
Q96D53	0	0	0	0	0	0	0	0	63100000	2.9e+07	0	0	0	0	0	0	0	0	0	0
Q96DH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15600000	0	0	0	0
Q96E39	0	0	0	0	0	0	0	0	0	5900000	0	0	0	2.2e+07	0	8700000	0	8100000	0	0
Q96EP0	0	0	0	0	0	0	0	0	1400000	0	0	0	0	0	0	0	0	0	0	960000
Q96EP5	0	0	0	0	0	0	0	0	1.5e+07	0	0	1900000	4200000	1.74e+08	118600000	1.18e+08	2.3e+07	2e+07	11900000	4.4e+07
Q96EY7	0	0	0	0	0	0	0	0	67300000	36400000	0	3200000	0	0	0	0	0	0	0	0
Q96F46	0	0	6200000	0	0	2100000	0	0	7300000	0	0	0	0	0	0	0	0	0	0	0
Q96F86	0	0	0	0	0	0	0	0	0	0	0	0	0	9e+06	37200000	0	0	0	0	0
Q96FS4	0	0	0	0	0	0	0	4900000	28300000	0	0	0	0	0	0	0	0	0	0	0
Q96G46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3800000	0	3300000	0	5300000
Q96GP6	0	0	20800000	17800000	8100000	18600000	8400000	1.4e+07	1.6e+07	0	0	0	0	0	0	0	0	0	0	0
Q96GQ7	0	0	0	0	0	0	0	0	0	0	0	0	41400000	107800000	23200000	3900000	0	0	0	0
Q96GW9	0	0	0	0	0	0	0	0	4800000	8700000	0	0	0	0	0	0	0	0	0	0
Q96H55	0	0	0	0	0	0	0	0	41100000	9800000	0	0	0	0	0	0	0	0	0	0
Q96HA1	0	0	0	0	0	0	0	0	0	0	0	4100000	0	1.1e+07	0	0	0	0	0	0
Q96HA7	0	0	0	0	0	0	0	0	3500000	0	0	0	1.6e+07	1.2e+07	1.1e+07	1.4e+07	16500000	9900000	0	4300000
Q96HC4	0	0	0	0	0	0	3400000	1.2e+07	57400000	21600000	0	1.1e+07	0	0	0	0	0	7700000	0	1.1e+07
Q96HE7	0	0	0	0	0	0	0	0	8500000	0	0	0	0	0	0	0	0	0	0	0
Q96HP0	0	0	0	0	0	0	710000	16970000	11100000	5600000	3800000	0	0	0	0	0	0	0	0	0
Q96I24	0	0	4400000	0	0	0	0	47700000	229200000	9.3e+07	114800000	5.8e+07	216500000	797900000	1377600000	1436700000	643200000	254800000	44100000	294400000
Q96I99	0	0	0	0	0	0	0	0	1.3e+07	11400000	0	0	0	0	0	0	0	0	0	0
Q96II8	0	0	3600000	0	0	0	0	0	18700000	5600000	3200000	0	0	0	0	0	0	0	0	0
Q96IJ6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5100000	0	24500000	3900000	1.2e+07
Q96IZ7	0	0	0	0	0	0	0	0	0	0	0	0	4e+07	173700000	64800000	21400000	0	0	0	0
Q96J02	0	0	0	0	2800000	7100000	0	0	1e+07	1e+07	0	0	0	0	0	0	0	0	0	0
Q96J42	0	0	3200000	0	0	0	0	1.4e+07	0	1.5e+07	0	0	0	0	0	0	0	0	0	0
Q96J84	0	0	760000	0	0	0	0	11600000	8800000	32600000	0	0	0	0	0	0	0	0	0	0
Q96JB6	0	0	0	1700000	0	0	0	5200000	0	0	0	2400000	0	0	0	0	0	0	0	0
Q96JI7	0	0	3700000	0	0	0	7e+05	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96JM3	0	0	0	0	0	0	0	0	0	0	0	2400000	30200000	3.3e+07	7800000	0	0	0	0	0
Q96JP5	0	0	0	0	0	0	0	0	0	0	0	0	1.5e+07	9500000	8300000	0	0	0	0	0
Q96JY6	0	0	0	0	0	0	3e+06	9100000	67900000	6.1e+07	1.3e+07	1.3e+07	5100000	0	0	0	0	0	5e+06	0
Q96KP4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	0	15900000	11400000	13200000	8920000	3400000
Q96KR1	0	0	0	0	0	0	0	0	9700000	0	0	4100000	207200000	279700000	216100000	84500000	1.6e+07	17700000	0	12200000
Q96L91	0	0	0	0	0	0	0	0	1100000	0	0	0	14100000	8e+06	13300000	17700000	9300000	2100000	0	0
Q96L92	0	0	8800000	0	0	2700000	4900000	3300000	0	0	0	0	0	0	0	0	0	0	0	0
Q96ME1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3400000	5e+06	0	1900000	7300000
Q96ME7	0	0	0	0	0	0	0	0	0	0	0	0	0	5900000	1900000	0	0	0	0	0
Q96MU7	0	0	0	0	0	0	0	1800000	8200000	0	0	0	77400000	241500000	265500000	100400000	94200000	30900000	2.7e+07	5.3e+07
Q96MW5	0	0	6400000	0	0	2800000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96N66	0	0	0	0	0	0	3200000	1.6e+07	5.7e+07	3.9e+07	2.8e+07	0	26700000	16700000	0	0	0	0	0	0
Q96N67	0	0	23620000	13600000	5800000	24400000	10500000	53300000	182400000	35700000	17900000	9300000	0	0	0	3700000	38300000	18200000	4200000	23200000
Q96NE9	0	0	10300000	1900000	0	0	0	18700000	23300000	0	0	0	0	0	0	0	0	0	0	0
Q96P48	0	0	0	0	0	0	0	0	0	0	2500000	0	0	0	0	0	5e+06	7e+06	5500000	0
Q96PD2	0	0	40700000	21300000	1400000	13380000	13500000	13300000	71100000	77200000	18200000	0	0	0	0	0	0	0	0	0
Q96PE2	0	0	0	0	0	0	0	0	6900000	22800000	0	0	0	0	0	0	0	0	0	0
Q96PK6	0	0	0	0	0	0	0	4900000	6.7e+07	54600000	25400000	8.2e+07	496400000	653900000	3.99e+08	5.32e+08	267100000	143800000	77500000	94600000
Q96PU5	0	0	15400000	8100000	2300000	8300000	4300000	6700000	25600000	11300000	3900000	0	0	0	0	0	0	0	0	0
Q96Q15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2800000	5300000	1800000	0
Q96QD9	0	0	0	0	0	0	0	0	0	0	0	0	4900000	0	9300000	0	0	0	0	0
Q96QK1	0	0	0	6100000	0	1.2e+07	2400000	5200000	1.1e+07	3700000	0	3500000	0	0	0	0	0	1e+07	4900000	0
Q96QR8	0	0	0	0	0	0	0	3500000	1.3e+07	0	0	0	8400000	0	68800000	28900000	25700000	9700000	2400000	9100000
Q96QZ7	0	0	0	0	0	0	1700000	1.9e+07	0	1.9e+07	0	0	0	0	0	0	0	0	0	0
Q96R06	0	0	0	0	0	0	0	3800000	4.3e+07	18900000	0	0	0	1.6e+07	0	16700000	20200000	4400000	0	0
Q96RP9	0	0	0	0	0	0	0	0	2e+07	30500000	0	0	0	0	0	0	0	0	0	0
Q96RQ1	0	0	0	2200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96RQ3	0	0	0	0	0	0	0	0	8300000	0	0	0	0	0	0	0	0	0	0	0
Q96RT1	0	0	1500000	0	0	3300000	5400000	1.8e+07	50400000	9200000	0	2900000	0	0	0	0	0	0	0	5e+06
Q96RT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28700000	7300000	0	19500000
Q96RY7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6e+07	0	0
Q96S66	0	0	0	0	0	0	0	14600000	1.2e+07	2.8e+07	0	0	0	0	0	0	0	0	0	0
Q96SB3	0	0	0	0	0	0	0	1.6e+07	8e+07	7.8e+07	15900000	0	4100000	0	0	0	0	0	0	0
Q96SB4	0	0	0	0	0	0	0	0	0	0	0	0	4300000	2800000	4200000	6.5e+07	22900000	0	0	0
Q96SK2	0	0	0	0	0	0	0	0	0	0	0	0	3e+07	1.4e+07	0	0	0	0	0	0
Q96SN8	0	0	0	0	0	0	0	0	0	0	0	0	11800000	0	0	0	0	0	0	0
Q96ST2	0	0	0	0	0	0	0	8900000	6300000	28600000	73900000	150300000	63600000	36900000	0	6400000	6400000	6700000	0	0
Q96ST3	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	0	0	0	0	0	0	0
Q96SU4	0	0	2700000	5300000	0	0	0	4100000	12600000	0	0	0	0	0	0	0	0	1900000	0	3600000
Q96T37	0	0	0	0	0	0	0	0	1.6e+07	1.2e+07	0	12600000	120200000	3.42e+08	199800000	159100000	8200000	3300000	6600000	13800000
Q96T51	0	0	21100000	1.9e+07	2600000	6200000	3800000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96T76	0	0	0	0	0	0	0	0	10300000	0	0	0	0	0	15700000	2800000	9400000	13800000	0	23700000
Q96T83	0	0	0	0	0	6400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96T88	0	0	0	0	0	0	0	0	0	0	0	0	9200000	1.1e+07	0	4100000	0	0	0	0
Q99426	0	0	5700000	0	0	0	0	0	18300000	0	0	0	0	1.7e+07	0	0	1.8e+07	0	8500000	7200000
Q99439	0	0	0	3500000	0	0	4e+06	21800000	8e+07	1.7e+07	0	0	0	1.1e+07	0	15400000	5500000	2.5e+07	8300000	1.1e+07
Q99442	0	0	58500000	3400000	6400000	25200000	24500000	7.6e+07	3.16e+08	2.26e+08	53600000	2.9e+07	0	0	0	0	0	0	0	0
Q99459	0	0	0	0	0	0	0	0	0	0	0	1e+07	1.3e+07	70100000	45500000	53600000	16300000	7900000	0	0
Q99460	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2e+07	5.7e+07	35600000	40300000	37900000	5e+06	14100000
Q99497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6500000	8100000	17200000	0	0
Q99523	0	0	11300000	15300000	1900000	14100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99536	0	0	3100000	1700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99541	0	1100000	6e+06	3100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6e+06	15600000	9300000	0	0	0
Q99567	0	0	0	0	0	0	0	1.1e+07	2.3e+07	0	1.7e+07	4300000	97600000	123900000	24700000	0	0	0	0	5500000
Q99569	0	0	0	3900000	2700000	4700000	2900000	1.1e+07	76700000	58300000	17700000	0	0	0	0	0	0	0	0	0
Q99571	0	0	3.1e+07	20700000	0	16600000	0	4900000	1.6e+07	8700000	0	0	0	0	0	0	0	0	0	0
Q99575	0	0	0	0	0	0	0	0	0	0	0	0	1.3e+07	0	33600000	26200000	43300000	6800000	1800000	0
Q99590	0	0	0	0	0	0	0	0	0	0	0	0	2e+07	2.5e+07	7e+06	0	0	0	0	0
Q99613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7e+07	0	1.4e+07	8200000	7700000
Q99615	0	0	0	2400000	0	0	0	14100000	2700000	0	0	0	5200000	8600000	15400000	1.2e+07	1e+07	1.2e+07	4600000	6500000
Q99661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7500000	0	0	0	0
Q99666	0	0	0	0	0	0	0	0	0	0	0	0	0	9800000	0	0	0	0	0	0
Q99700	0	0	0	0	0	0	0	0	0	20100000	0	4400000	0	0	1.8e+07	1.98e+08	75800000	21400000	4400000	7200000
Q99707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400000	0	0	12400000
Q99714	0	0	0	0	0	0	0	0	110300000	124500000	40300000	9900000	0	0	0	0	0	0	0	0
Q99715	0	0	182500000	131050000	46550000	120980000	48100000	70200000	41200000	18700000	0	0	0	0	0	0	0	0	0	0
Q99729	0	0	0	0	0	0	0	0	0	1.9e+07	1.1e+07	0	61600000	1.3e+08	182900000	9.9e+07	52900000	3.7e+07	3.3e+07	8600000
Q99733	0	0	0	0	0	0	0	0	0	0	4200000	30100000	6500000	0	0	9500000	0	9100000	0	0
Q99798	0	0	0	0	0	0	0	0	198900000	106600000	0	0	0	0	0	0	0	0	0	0
Q99805	0	0	25100000	6800000	1.1e+07	23100000	5700000	3100000	0	0	0	0	0	0	0	0	0	0	0	0
Q99829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5800000	16300000	2e+06	4200000	0	3200000
Q99832	0	0	0	0	0	0	0	0	0	0	0	0	0	18900000	44500000	59700000	20900000	219100000	32700000	173400000
Q99848	0	0	0	0	0	0	0	0	0	0	0	0	2.4e+07	84200000	5800000	0	0	0	0	0
Q99873	0	0	3e+06	0	0	0	0	0	0	0	0	0	15300000	3.1e+07	49100000	54100000	43600000	136500000	30700000	117500000
Q99959	0	0	4100000	0	0	0	0	5800000	2.8e+07	0	4900000	0	0	0	0	0	0	0	0	0
Q99961	0	0	0	0	0	0	0	0	5700000	0	0	0	0	0	0	0	0	3300000	0	0
Q99973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10800000	0	0	11600000
Q99996	0	0	31100000	6e+06	0	12950000	5280000	4600000	0	1.1e+07	0	0	8200000	8e+06	0	0	2600000	0	0	3800000
Q9BPW8	0	0	0	0	0	0	0	0	0	1.8e+07	0	2400000	0	0	0	0	0	0	0	0
Q9BPX3	0	0	0	0	0	0	0	0	0	0	0	0	21700000	48100000	42300000	0	16300000	9e+06	0	46700000
Q9BQ39	0	0	0	0	0	0	0	0	0	0	0	0	5200000	3.7e+07	23700000	11200000	1300000	0	0	3700000
Q9BQ70	0	0	0	0	0	0	0	0	16300000	3600000	0	0	0	0	0	0	0	0	0	0
Q9BQA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e+07	26200000	7.5e+07	81600000	28400000	4.4e+07
Q9BQE3	0	0	0	0	0	0	0	3300000	0	1.1e+07	0	0	0	0	0	1.6e+07	2.3e+07	1.2e+07	0	16100000
Q9BQG0	0	0	0	0	0	0	0	0	0	0	0	0	74900000	155800000	3.6e+07	0	0	0	0	0
Q9BQP7	0	0	0	0	0	0	0	0	35900000	1.2e+07	0	0	0	0	0	0	0	0	0	0
Q9BQS8	0	0	27300000	7760000	0	0	5100000	8300000	0	0	0	0	0	0	0	0	0	0	0	0
Q9BR76	0	0	0	0	0	0	0	0	0	0	2200000	3100000	0	0	0	0	3500000	3800000	3e+06	0
Q9BRJ2	0	0	0	0	0	0	0	0	0	2800000	0	0	0	0	0	0	0	0	0	0
Q9BRJ6	0	0	0	0	0	0	0	0	0	0	0	0	8700000	4300000	0	25500000	42100000	0	0	0
Q9BRK4	0	0	2300000	0	0	0	0	9600000	37500000	7200000	0	0	0	0	0	0	0	0	0	0
Q9BRL6	0	0	0	0	0	0	0	0	0	0	0	0	1.4e+07	0	6600000	1.2e+07	0	0	0	0
Q9BRR6	0	0	0	0	0	0	0	0	5800000	6e+06	2.2e+07	0	0	0	0	0	0	0	0	0
Q9BRR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6700000	0	0	0	0	0
Q9BRZ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400000	1.49e+08	1.23e+08	14300000	3.2e+07	11600000
Q9BS26	0	1900000	9.9e+07	63900000	24600000	7e+07	56540000	32900000	1.38e+08	1.63e+08	37500000	4.7e+07	0	0	0	0	0	0	0	0
Q9BSJ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8400000	1500000	3400000	1400000
Q9BSJ5	0	0	0	0	0	0	0	0	22300000	0	0	0	0	0	0	0	0	0	0	0
Q9BSJ8	0	0	263100000	156700000	36460000	111200000	149800000	474200000	6.26e+08	511500000	186100000	126110000	71600000	22100000	0	0	0	0	0	3400000
Q9BTC0	0	0	0	0	0	0	0	0	0	0	0	0	74700000	25400000	0	35100000	7600000	0	0	0
Q9BTC8	0	0	0	0	0	0	0	0	0	0	0	0	0	4e+06	0	0	0	0	0	0
Q9BTD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1400000	1.5e+07	0	0	0	0
Q9BTT0	0	0	0	0	0	0	0	0	2.4e+07	25800000	6500000	17400000	667150000	5.95e+08	1.3e+08	8.2e+07	43900000	1400000	0	0
Q9BTT6	0	0	0	0	0	0	0	0	2.1e+07	1.5e+07	0	0	0	0	0	0	0	0	0	0
Q9BTU6	0	0	86100000	58400000	36600000	74400000	3.3e+07	15500000	0	0	4200000	0	0	0	0	0	0	0	0	0
Q9BTV4	0	0	0	0	0	0	0	0	1.2e+07	0	7800000	0	0	0	0	0	0	0	0	0
Q9BTW9	0	0	0	0	0	0	2.4e+07	0	0	0	0	2400000	0	22900000	0	8800000	70900000	1940900000	29800000	85600000
Q9BTX1	0	0	0	0	0	0	0	0	0	0	0	7400000	4600000	6500000	0	0	0	0	0	0
Q9BU76	0	0	0	0	0	0	0	0	0	0	0	0	0	40300000	2900000	3.3e+07	1.1e+07	0	0	0
Q9BUF5	0	0	18900000	0	0	0	10300000	25300000	63100000	38500000	1.3e+07	0	0	0	6.8e+07	170500000	46100000	137600000	25500000	70600000
Q9BUJ2	0	0	0	0	0	0	0	0	0	0	0	3700000	133600000	159400000	220400000	124800000	3.6e+07	57500000	21500000	80600000
Q9BUQ8	0	0	0	0	0	0	0	0	0	0	0	0	8.9e+07	189900000	326200000	2.65e+08	8.4e+07	23800000	0	26100000
Q9BV38	0	0	0	0	0	0	0	0	0	0	0	0	3900000	6.5e+07	2.1e+07	4700000	1.1e+07	0	0	7700000
Q9BV44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6100000	0	1e+07	0	5700000
Q9BV73	0	0	0	0	0	0	0	0	0	0	0	0	0	4600000	0	0	0	0	0	0
Q9BVA1	0	0	0	0	0	0	5200000	0	0	0	0	0	6e+06	1.3e+07	8e+06	5e+07	0	1.9e+07	0	1.5e+07
Q9BVJ6	0	0	0	0	0	0	0	0	0	0	4200000	3200000	48800000	1.94e+08	15600000	16100000	0	0	0	0
Q9BVP2	0	0	0	0	0	0	0	0	0	0	0	0	20500000	4.3e+07	36100000	12600000	0	0	0	0
Q9BW19	0	0	0	0	0	0	0	0	0	4600000	0	0	3700000	7700000	0	16300000	207200000	6200000	0	4400000
Q9BW27	0	0	0	0	0	0	0	0	5700000	0	4.2e+07	6900000	0	2.94e+08	1.9e+07	0	0	0	0	0
Q9BW71	0	0	0	0	0	0	0	0	0	0	1300000	8400000	9.2e+07	90200000	3.6e+07	3.4e+07	4.5e+07	1.5e+07	8e+06	14700000
Q9BW92	0	0	0	0	0	0	0	0	46600000	5e+07	4500000	1.1e+07	0	0	0	0	0	0	0	0
Q9BWF3	0	0	0	0	0	0	0	0	6200000	0	18500000	2.3e+07	1.3e+08	6.4e+07	8.4e+07	9.9e+07	6.8e+07	64500000	1.4e+07	3e+07
Q9BWH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4100000	8400000	0	0
Q9BWU0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800000	1.3e+07	8200000	9200000	1800000	0	0
Q9BX40	0	0	0	0	0	0	0	0	4e+07	0	5800000	1.2e+07	0	3.3e+07	5.5e+07	1.01e+08	4.8e+07	7500000	1.6e+07	2.1e+07
Q9BX66	0	0	0	0	0	0	0	0	1.2e+07	1.5e+07	3700000	0	0	0	0	0	0	0	0	0
Q9BXB4	0	0	1700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BXB5	0	0	20700000	14700000	3100000	23300000	37600000	66500000	152600000	1.19e+08	3.9e+07	37500000	0	22500000	31600000	12500000	36600000	45830000	2e+07	12200000
Q9BXF6	0	0	38100000	60900000	24100000	7900000	2900000	0	9600000	9100000	0	0	0	0	0	0	0	0	0	0
Q9BXJ9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7600000	0	0
Q9BXP2	0	0	4.9e+07	59800000	2.4e+07	38600000	8e+06	6800000	0	1400000	0	0	0	0	0	0	0	0	0	0
Q9BXP5	0	0	0	0	0	0	0	6e+06	9700000	0	0	0	2.6e+07	1.26e+08	1.22e+08	117500000	106800000	5.8e+07	22300000	106700000
Q9BXS5	0	0	0	4400000	6800000	6e+06	1.1e+07	7e+06	0	0	0	0	0	0	0	0	0	0	0	0
Q9BXS6	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+07	0	0	0	0	0	0
Q9BXW7	0	0	0	0	0	0	0	0	0	0	9200000	0	0	0	0	0	0	0	0	0
Q9BXW9	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+06	0	0	0	0	0	0
Q9BY44	0	0	0	0	0	0	0	0	0	0	0	0	0	4800000	8900000	55900000	28700000	18200000	0	12900000
Q9BY67	0	0	0	0	0	0	0	0	56700000	50400000	0	12200000	0	0	0	0	0	0	0	0
Q9BY77	0	0	0	0	0	0	0	0	0	0	0	0	5400000	16700000	9500000	0	0	0	0	0
Q9BY89	0	0	0	0	0	0	0	2500000	43800000	33600000	0	0	0	0	0	0	0	0	0	0
Q9BYC5	0	0	2900000	0	0	3200000	2700000	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BYD1	0	0	0	0	0	0	0	0	140400000	3.7e+07	460000	2.82e+08	0	0	0	0	0	0	0	0
Q9BYD3	0	0	0	0	0	0	0	0	6.1e+07	3.9e+07	16800000	3500000	0	0	0	0	0	0	0	0
Q9BYG3	0	0	0	0	0	0	0	0	0	0	0	0	1.1e+07	25400000	0	0	0	0	0	0
Q9BYG4	0	0	0	0	0	0	0	0	0	4200000	0	0	0	0	0	0	0	0	0	0
Q9BYJ9	0	0	0	0	0	0	0	0	2400000	0	0	0	0	0	0	26100000	0	0	0	0
Q9BYK8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8500000	0	0	0	0
Q9BYW2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5400000	0	0	0	0	0
Q9BZE1	0	0	0	0	0	0	0	0	77300000	19700000	9500000	0	0	0	0	0	0	0	0	0
Q9BZE4	0	0	0	0	0	0	0	0	0	0	0	0	0	148800000	0	0	0	0	0	0
Q9BZF1	0	0	1500000	0	0	1100000	760000	6400000	1.4e+07	3500000	1900000	650000	0	0	0	0	0	0	0	0
Q9BZF9	0	0	0	0	0	0	0	3300000	2600000	0	0	0	0	0	0	0	0	0	0	0
Q9BZG1	0	0	21600000	3700000	9300000	0	0	0	3.4e+07	1.3e+07	0	0	0	0	0	0	0	0	0	0
Q9BZH6	0	0	1600000	25500000	16400000	2.4e+07	0	40100000	5100000	0	0	0	0	0	0	7400000	1.9e+07	6900000	0	4200000
Q9BZZ5	0	0	0	0	0	0	0	0	0	0	0	2500000	1.4e+07	4e+07	2.8e+07	5200000	0	0	0	0
Q9C0B0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5300000	3e+06	0	0	0
Q9C0C2	0	0	13500000	2800000	0	2e+06	9e+06	40500000	404900000	295500000	90400000	53900000	0	18600000	126700000	128800000	153300000	92100000	32400000	64600000
Q9C0C4	0	0	8300000	3400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0H2	0	0	48800000	6.3e+07	9700000	4.5e+07	5.2e+07	116200000	3.4e+07	1.9e+07	5400000	0	0	0	0	0	0	0	0	0
Q9GLM4	0	0	0	0	0	0	0	0	2.3e+07	0	0	0	0	0	0	0	0	0	0	0
Q9GZR7	0	0	0	0	0	0	0	0	0	0	0	0	10700000	36900000	6900000	9100000	0	0	0	0
Q9GZT3	0	0	0	0	0	0	0	1.1e+07	183600000	2.62e+08	8.5e+07	3.2e+07	0	0	0	0	0	0	0	0
Q9GZX3	0	0	2300000	1400000	1e+06	0	1e+06	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9GZY8	0	0	0	0	0	0	0	0	1400000	0	0	0	0	0	0	0	0	0	0	0
